iter	Passed	Remaining
424	2043	7572
425	2048	7569
426	2054	7566
427	2058	7561
428	2063	7556
429	2068	7552
430	2073	7546
431	2077	7540
432	2082	7536
433	2087	7530
434	2091	7525
435	2096	7520
436	2101	7515
437	2106	7510
438	2110	7504
439	2115	7499
440	2119	7493
441	2124	7489
442	2129	7484
443	2134	7479
444	2138	7474
445	2143	7469
446	2148	7462
447	2152	7457
448	2157	7453
449	2162	7448
450	2167	7443
451	2171	7438
452	2176	7432
453	2181	7427
454	2185	7422
455	2190	7416
456	2195	7411
457	2199	7406
458	2204	7401
459	2209	7395
460	2213	7390
461	2218	7385
462	2223	7380
463	2227	7373
464	2232	7369
465	2236	7363
466	2241	7358
467	2246	7352
468	2251	7348
469	2255	7342
470	2260	7337
471	2264	7332
472	2269	7327
473	2274	7321
474	2278	7316
475	2283	7310
476	2287	7305
477	2292	7299
478	2297	7294
479	2301	7289
480	2306	7284
481	2311	7280
482	2316	7275
483	2321	7270
484	2325	7265
485	2330	7260
486	2335	7255
487	2340	7251
488	2345	7246
489	2349	7241
490	2355	7238
491	2359	7232
492	2364	7227
493	2369	7222
494	2373	7217
495	2378	7213
496	2383	7207
497	2388	7202
498	2392	7198
499	2398	7194
500	2402	7189
501	2407	7184
502	2412	7178
503	2416	7173
504	2421	7168
505	2425	7162
506	2430	7157
507	2435	7152
508	2439	7147
509	2445	7143
510	2449	7138
511	2454	7133
512	2459	7129
513	2464	7124
514	2467	7114
515	2472	7109
516	2476	7104
517	2481	7099
518	2486	7095
519	2491	7090
520	2496	7085
521	2500	7080
522	2505	7075
523	2510	7071
524	2514	7065
525	2519	7061
526	2524	7056
527	2529	7051
528	2534	7047
529	2539	7042
530	2543	7037
531	2548	7033
532	2553	7028
533	2558	7023
534	2563	7018
535	2567	7013
536	2572	7008
537	2577	7003
538	2581	6998
539	2586	6993
540	2591	6988
541	2595	6981
542	2600	6976
543	2604	6971
544	2609	6966
545	2614	6961
546	2618	6956
547	2623	6952
548	2628	6946
549	2633	6941
550	2637	6937
551	2642	6932
552	2647	6927
553	2652	6922
554	2657	6917
555	2661	6912
556	2666	6907
557	2671	6902
558	2675	6897
559	2680	6892
560	2685	6887
561	2690	6883
562	2694	6878
563	2699	6873
564	2704	6868
565	2709	6863
566	2713	6859
567	2718	6854
568	2723	6849
569	2728	6845
570	2733	6840
571	2738	6836
572	2743	6832
573	2748	6828
574	2753	6823
575	2758	6819
576	2763	6814
577	2767	6809
578	2772	6804
579	2777	6799
580	2782	6794
581	2786	6789
582	2791	6784
583	2796	6779
584	2800	6774
585	2805	6769
586	2810	6765
587	2815	6760
588	2819	6755
589	2824	6750
590	2829	6745
591	2834	6741
592	2839	6736
593	2843	6731
594	2848	6727
595	2853	6722
596	2858	6717
597	2863	6712
598	2868	6708
599	2872	6703
600	2876	6695
601	2881	6690
602	2885	6685
603	2890	6681
604	2895	6676
605	2900	6671
606	2904	6666
607	2909	6661
608	2914	6656
609	2919	6651
610	2924	6648
611	2929	6643
612	2934	6638
613	2939	6634
614	2943	6629
615	2948	6624
616	2952	6619
617	2957	6614
618	2962	6609
619	2967	6605
620	2972	6600
621	2977	6595
622	2982	6591
623	2986	6586
624	2991	6581
625	2996	6576
626	3001	6572
627	3006	6567
628	3010	6562
629	3015	6558
630	3020	6553
631	3025	6548
632	3030	6544
633	3034	6539
634	3039	6534
635	3044	6529
636	3049	6524
637	3053	6519
638	3059	6515
639	3063	6510
640	3068	6505
641	3073	6501
642	3078	6496
643	3083	6491
644	3087	6486
645	3092	6481
646	3097	6476
647	3101	6472
648	3106	6467
649	3111	6462
650	3116	6457
651	3121	6452
652	3125	6447
653	3130	6443
654	3135	6438
655	3140	6433
656	3144	6428
657	3149	6424
658	3155	6420
659	3160	6416
660	3165	6411
661	3169	6406
662	3174	6401
663	3180	6399
664	3185	6394
665	3190	6390
666	3195	6385
667	3201	6383
668	3206	6379
669	3211	6374
670	3215	6369
671	3220	6365
672	3225	6360
673	3230	6355
674	3235	6350
675	3240	6345
676	3244	6340
677	3249	6335
678	3254	6331
679	3259	6326
680	3263	6321
681	3268	6317
682	3273	6312
683	3278	6308
684	3283	6303
685	3288	6298
686	3292	6293
687	3297	6288
688	3302	6284
689	3307	6279
690	3312	6274
691	3316	6269
692	3321	6264
693	3326	6259
694	3331	6254
695	3335	6249
696	3340	6245
697	3345	6240
698	3350	6236
699	3355	6231
700	3360	6226
701	3365	6222
702	3369	6217
703	3374	6212
704	3379	6207
705	3384	6202
706	3388	6197
707	3393	6193
708	3398	6188
709	3403	6183
710	3408	6178
711	3412	6174
712	3417	6169
713	3422	6164
714	3427	6159
715	3432	6154
716	3436	6149
717	3441	6144
718	3446	6139
719	3450	6135
720	3455	6130
721	3460	6125
722	3465	6120
723	3470	6116
724	3475	6111
725	3480	6107
726	3484	6102
727	3489	6097
728	3492	6089
729	3497	6084
730	3502	6079
731	3506	6074
732	3511	6069
733	3516	6064
734	3521	6060
735	3525	6055
736	3530	6050
737	3535	6045
738	3540	6040
739	3544	6035
740	3549	6030
741	3554	6025
742	3558	6020
743	3563	6015
744	3568	6010
745	3572	6005
746	3577	6000
747	3582	5995
748	3586	5991
749	3591	5986
750	3596	5980
751	3601	5976
752	3605	5970
753	3610	5966
754	3615	5962
755	3620	5957
756	3625	5952
757	3629	5947
758	3634	5943
759	3639	5937
760	3643	5932
761	3648	5928
762	3653	5923
763	3658	5918
764	3662	5913
765	3667	5908
766	3672	5903
767	3677	5898
768	3682	5894
769	3686	5889
770	3691	5884
771	3696	5880
772	3701	5876
773	3706	5871
774	3711	5866
775	3716	5861
776	3720	5856
777	3724	5850
778	3729	5845
779	3734	5840
780	3738	5835
781	3743	5830
782	3748	5826
783	3753	5821
784	3758	5816
785	3762	5811
786	3767	5806
787	3772	5802
788	3777	5797
789	3781	5792
790	3786	5787
791	3791	5783
792	3796	5778
793	3801	5774
794	3806	5769
795	3812	5767
796	3823	5771
797	3830	5769
798	3834	5764
799	3839	5759
800	3846	5758
801	3851	5753
802	3856	5748
803	3862	5746
804	3867	5741
805	3872	5737
806	3880	5736
807	3885	5731
808	3891	5729
809	3896	5725
810	3901	5720
811	3908	5718
812	3913	5713
813	3918	5708
814	3924	5706
815	3929	5701
816	3934	5696
817	3940	5693
818	3945	5688
819	3949	5683
820	3957	5683
821	3962	5678
822	3967	5673
823	3974	5671
824	3979	5667
825	3983	5662
826	3990	5660
827	3995	5654
828	3999	5650
829	4006	5647
830	4011	5643
831	4016	5638
832	4022	5635
833	4027	5630
834	4032	5625
835	4038	5623
836	4043	5618
837	4048	5613
838	4054	5611
839	4059	5605
840	4064	5600
841	4069	5597
842	4074	5592
843	4079	5587
844	4084	5583
845	4089	5578
846	4094	5574
847	4100	5570
848	4104	5565
849	4109	5560
850	4114	5555
851	4118	5549
852	4123	5545
853	4128	5540
854	4133	5535
855	4137	5530
856	4142	5525
857	4147	5520
858	4152	5515
859	4156	5510
860	4161	5505
861	4166	5500
862	4170	5495
863	4175	5490
864	4180	5485
865	4185	5480
866	4190	5475
867	4194	5470
868	4199	5465
869	4204	5460
870	4209	5455
871	4213	5451
872	4218	5445
873	4223	5440
874	4228	5436
875	4232	5431
876	4237	5426
877	4242	5421
878	4247	5416
879	4252	5411
880	4257	5407
881	4261	5401
882	4266	5397
883	4271	5392
884	4276	5387
885	4281	5382
886	4285	5377
887	4290	5372
888	4295	5368
889	4300	5362
890	4304	5357
891	4309	5353
892	4314	5348
893	4319	5343
894	4323	5338
895	4328	5333
896	4333	5328
897	4338	5323
898	4345	5321
899	4349	5316
900	4356	5314
901	4361	5309
902	4366	5304
903	4373	5302
904	4378	5297
905	4382	5292
906	4389	5289
907	4394	5284
908	4399	5279
909	4405	5277
910	4410	5272
911	4415	5267
912	4422	5265
913	4428	5261
914	4437	5262
915	4442	5257
916	4447	5252
917	4454	5250
918	4459	5246
919	4464	5241
920	4471	5238
921	4476	5233
922	4481	5229
923	4487	5225
924	4491	5220
925	4497	5216
926	4503	5212
927	4507	5207
928	4512	5202
929	4518	5198
930	4523	5194
931	4528	5189
932	4533	5185
933	4539	5180
934	4543	5175
935	4548	5171
936	4553	5166
937	4558	5161
938	4580	5175
939	4585	5170
940	4589	5165
941	4595	5160
942	4599	5155
943	4604	5150
944	4610	5146
945	4615	5142
946	4620	5137
947	4626	5133
948	4630	5128
949	4635	5123
950	4641	5119
951	4646	5114
952	4650	5109
953	4655	5104
954	4661	5100
955	4665	5095
956	4670	5090
957	4675	5085
958	4680	5080
959	4685	5075
960	4690	5070
961	4694	5065
962	4699	5060
963	4704	5055
964	4709	5050
965	4714	5045
966	4718	5040
967	4723	5035
968	4728	5030
969	4733	5025
970	4737	5020
971	4742	5016
972	4747	5011
973	4752	5006
974	4757	5001
975	4762	4996
976	4767	4991
977	4772	4987
978	4777	4981
979	4781	4976
980	4786	4972
981	4791	4967
982	4796	4962
983	4801	4957
984	4806	4952
985	4811	4947
986	4815	4942
987	4820	4937
988	4825	4932
989	4829	4927
990	4836	4924
991	4841	4919
992	4845	4914
993	4850	4909
994	4855	4904
995	4860	4899
996	4867	4896
997	4871	4891
998	4876	4886
999	4883	4883
1000	4888	4878
1001	4894	4874
1002	4900	4871
1003	4905	4866
1004	4910	4861
1005	4917	4858
1006	4922	4853
1007	4927	4848
1008	4934	4846
1009	4939	4841
1010	4944	4836
1011	4951	4834
1012	4956	4829
1013	4961	4824
1014	4967	4820
1015	4972	4815
1016	4977	4811
1017	4983	4807
1018	4988	4802
1019	4995	4799
1020	5000	4794
1021	5005	4789
1022	5012	4787
1023	5017	4782
1024	5022	4777
1025	5031	4776
1026	5038	4773
1027	5046	4771
1028	5051	4766
1029	5056	4761
1030	5063	4759
1031	5068	4754
1032	5074	4750
1033	5080	4746
1034	5085	4741
1035	5092	4738
1036	5097	4733
1037	5101	4728
1038	5107	4724
1039	5112	4719
1040	5117	4714
1041	5122	4709
1042	5127	4704
1043	5132	4699
1044	5137	4694
1045	5142	4689
1046	5146	4684
1047	5151	4679
1048	5156	4675
1049	5161	4669
1050	5166	4664
1051	5171	4659
1052	5175	4654
1053	5180	4649
1054	5185	4644
1055	5190	4639
1056	5195	4634
1057	5199	4629
1058	5204	4624
1059	5209	4619
1060	5214	4614
1061	5219	4609
1062	5223	4604
1063	5229	4600
1064	5233	4595
1065	5238	4589
1066	5243	4584
1067	5248	4579
1068	5252	4574
1069	5257	4569
1070	5262	4564
1071	5266	4559
1072	5271	4554
1073	5276	4549
1074	5281	4544
1075	5286	4539
1076	5290	4534
1077	5295	4529
1078	5300	4524
1079	5304	4519
1080	5309	4513
1081	5314	4508
1082	5319	4503
1083	5324	4498
1084	5328	4493
1085	5333	4488
1086	5338	4483
1087	5342	4478
1088	5347	4473
1089	5352	4468
1090	5356	4463
1091	5361	4458
1092	5366	4453
1093	5371	4448
1094	5375	4443
1095	5382	4439
1096	5387	4434
1097	5391	4429
1098	5396	4424
1099	5401	4419
1100	5406	4414
1101	5411	4409
1102	5416	4404
1103	5421	4399
1104	5426	4394
1105	5430	4389
1106	5435	4384
1107	5440	4379
1108	5445	4374
1109	5449	4369
1110	5454	4364
1111	5459	4359
1112	5464	4354
1113	5468	4349
1114	5473	4344
1115	5478	4339
1116	5483	4334
1117	5488	4329
1118	5492	4324
1119	5497	4319
1120	5502	4314
1121	5507	4309
1122	5512	4304
1123	5517	4299
1124	5521	4294
1125	5526	4289
1126	5531	4284
1127	5536	4279
1128	5540	4274
1129	5545	4269
1130	5550	4264
1131	5555	4259
1132	5560	4254
1133	5565	4249
1134	5569	4244
1135	5574	4239
1136	5579	4234
1137	5584	4229
1138	5588	4224
1139	5593	4219
1140	5598	4214
