iter	Logloss
0	0.6882971161
1	0.6839782738
2	0.6796844461
3	0.6753440707
4	0.6717695262
5	0.6675794686
6	0.6645138843
7	0.6608538625
8	0.6579327205
9	0.6543473974
10	0.6502752994
11	0.6472762697
12	0.6440769797
13	0.6407717948
14	0.6377259623
15	0.6346646146
16	0.6317728368
17	0.6286365234
18	0.6261804898
19	0.6234931835
20	0.6210154377
21	0.6183174458
22	0.6155461372
23	0.6129206874
24	0.61044775
25	0.6075075337
26	0.6046893814
27	0.6027559511
28	0.6005563402
29	0.5980333968
30	0.5959804756
31	0.5933314513
32	0.5913794876
33	0.5890757706
34	0.5872787552
35	0.5853173978
36	0.5832393439
37	0.5820336724
38	0.5799982497
39	0.5779506224
40	0.5759413562
41	0.5740450331
42	0.5726962552
43	0.570781848
44	0.5692362358
45	0.5677553409
46	0.5660323225
47	0.5647294519
48	0.5632552365
49	0.5616450662
50	0.5601900755
51	0.5582914101
52	0.5568233066
53	0.5551595551
54	0.5536863847
55	0.5525067011
56	0.5511021152
57	0.5496528258
58	0.5486458833
59	0.5474340785
60	0.5461377546
61	0.5448564043
62	0.5436152208
63	0.5421528599
64	0.5406798448
65	0.5394623014
66	0.5384206257
67	0.5373533048
68	0.5363151803
69	0.5348753475
70	0.5336472082
71	0.5323848456
72	0.5312341389
73	0.5303987171
74	0.5295368527
75	0.5284602899
76	0.5275668271
77	0.5264627224
78	0.5253775279
79	0.5241919235
80	0.5231470328
81	0.5222804651
82	0.521270772
83	0.5203005877
84	0.519720205
85	0.5188853573
86	0.5177376225
87	0.5168563856
88	0.5159611489
89	0.515238573
90	0.5145885455
91	0.5135919335
92	0.5128782584
93	0.5122141343
94	0.5115400106
95	0.5108353882
96	0.5100099743
97	0.509177043
98	0.5083098162
99	0.5073970181
100	0.5068369237
101	0.5061438303
102	0.5053589735
103	0.5047305349
104	0.504057797
105	0.5033631863
106	0.5026728973
107	0.5021976599
108	0.5015243308
109	0.5008862883
110	0.5002885995
111	0.499610186
112	0.4988962328
113	0.4983645554
114	0.4976909226
115	0.497056102
116	0.4964196382
117	0.4957597745
118	0.4951344674
119	0.4947161302
120	0.4941609968
121	0.4934724581
122	0.4928665141
123	0.4921786657
124	0.4915400523
125	0.4910141011
126	0.4905492029
127	0.4899165508
128	0.4893100707
129	0.4887438862
130	0.4882024723
131	0.4875739667
132	0.4871066961
133	0.486543527
134	0.4861069929
135	0.4854820775
136	0.4849828961
137	0.4843714904
138	0.4838331985
139	0.4834001998
140	0.4830560613
141	0.4826324398
142	0.4821902647
143	0.481887063
144	0.4812466135
145	0.4807569328
146	0.4801720608
147	0.4797614875
148	0.4792973008
149	0.4787737956
150	0.4783570051
151	0.4779284167
152	0.4775461062
153	0.4771538965
154	0.476628971
155	0.4762703561
156	0.4758588536
157	0.4753668993
158	0.4748782261
159	0.4744044897
160	0.4739977951
161	0.4735207001
162	0.4732485942
163	0.4728005042
164	0.4724978579
165	0.4721061924
166	0.4717744507
167	0.4713981245
168	0.4708787714
169	0.4704633314
170	0.4701330827
171	0.4697596826
172	0.4693516422
173	0.4690192298
174	0.4686665638
175	0.4682806213
176	0.4679444492
177	0.4675524874
178	0.467261558
179	0.4667922238
180	0.4663524934
181	0.4659557157
182	0.4655798919
183	0.4651877225
184	0.4648095382
185	0.4643812854
186	0.4640491607
187	0.4637638234
188	0.4634574083
189	0.4631040082
190	0.4627951504
191	0.4624250933
192	0.4622484407
193	0.4619078797
194	0.4616399118
195	0.4612714449
196	0.460913553
197	0.4605759407
198	0.4602246594
199	0.4599108243
200	0.459744153
201	0.4595611387
202	0.4592403097
203	0.4590040546
204	0.4587662111
205	0.4584402305
206	0.4581983026
207	0.457811378
208	0.4574934059
209	0.4571887293
210	0.4568669162
211	0.4566449775
212	0.4563485252
213	0.4559674537
214	0.4556376118
215	0.4553635574
216	0.4551101745
217	0.4548399615
218	0.4545436034
219	0.4543015307
220	0.4540314696
221	0.4537918349
222	0.4535239396
223	0.4532388768
224	0.4529574071
225	0.4526453328
226	0.4523146621
227	0.4520561195
228	0.4518224139
229	0.451622584
230	0.4512985023
231	0.451014705
232	0.4507745777
233	0.4505518694
234	0.4503070703
235	0.4500384462
236	0.4498653886
237	0.4495887315
238	0.4492769718
239	0.4490065333
240	0.44872132
241	0.4485439093
242	0.4483392625
243	0.4481173279
244	0.4478396356
245	0.4476692181
246	0.4474718113
247	0.4471926812
248	0.4469606832
249	0.4467347595
250	0.4465540135
251	0.4462413425
252	0.4459211214
253	0.4457217134
254	0.4454699338
255	0.445205849
256	0.4449627863
257	0.4447521661
258	0.4445020865
259	0.4443128492
260	0.4440234094
261	0.4437973488
262	0.4436400315
263	0.4433921847
264	0.4430754151
265	0.4428609672
266	0.4426805941
267	0.4424230716
268	0.4422857579
269	0.4420366354
270	0.4418888783
271	0.4417077761
272	0.4414576698
273	0.4412893998
274	0.4411262977
275	0.4409315085
276	0.4407557698
277	0.4405758641
278	0.4404253407
279	0.4401903861
280	0.4399299598
281	0.4397008549
282	0.4394760426
283	0.4392428168
284	0.4389900009
285	0.4387997944
286	0.4385970854
287	0.438430999
288	0.4381601626
289	0.4379820687
290	0.4378248084
291	0.4376825077
292	0.437448103
293	0.4372750028
294	0.4371264806
295	0.4370062355
296	0.4368211902
297	0.4366891563
298	0.4364565245
299	0.4363362652
300	0.4361334543
301	0.4358914654
302	0.4357493257
303	0.4355863508
304	0.4353688098
305	0.4351475298
306	0.435003004
307	0.4348172004
308	0.4346184839
309	0.4344742408
310	0.4343457906
311	0.4341868382
312	0.4340091092
313	0.4338445756
314	0.4336823133
315	0.4335287533
316	0.4333220816
317	0.4331256122
318	0.4329372512
319	0.4327259674
320	0.4325876912
321	0.4324066949
322	0.4322662436
323	0.432152607
324	0.4319812336
325	0.4318113642
326	0.4317176395
327	0.4315876035
328	0.4313951148
329	0.4312402456
330	0.4311197511
331	0.431007011
332	0.4308855804
333	0.430760185
334	0.4306431143
335	0.430491541
336	0.4303293231
337	0.4301996902
338	0.4300695387
339	0.4299404558
340	0.4297073726
341	0.4295867804
342	0.4293968382
343	0.429257692
344	0.42908688
345	0.4288809084
346	0.4287427149
347	0.4285526906
348	0.4283877901
349	0.4282278142
350	0.4280456292
351	0.4279138286
352	0.427767911
353	0.4276343305
354	0.4274886446
355	0.427342813
356	0.4271871038
357	0.4270704027
358	0.4269671681
359	0.4268449582
360	0.4266969507
361	0.4265580039
362	0.4263621425
363	0.42620638
364	0.4260497219
365	0.425905982
366	0.4258129931
367	0.4256410723
368	0.4254926586
369	0.4253483651
370	0.4252204461
371	0.4250663145
372	0.4249600203
373	0.4248352226
374	0.4247220073
375	0.4245151978
376	0.4243816497
377	0.4242555226
378	0.4241067771
379	0.4239387687
380	0.4238015734
381	0.4236764436
382	0.4235885196
383	0.4234636047
384	0.4233290641
385	0.4231960637
386	0.4231071508
387	0.4229995313
388	0.4228347457
389	0.4227421668
390	0.422610223
391	0.422489232
392	0.4223706026
393	0.4222717964
394	0.4221329418
395	0.4220082232
396	0.4219078545
397	0.4218100707
398	0.4217211786
399	0.421550239
400	0.4213789075
401	0.4212316666
402	0.4210948058
403	0.4210233405
404	0.4208805523
405	0.4207312633
406	0.4206299427
407	0.4204973861
408	0.420397878
409	0.4202771043
410	0.4201763832
411	0.4200670857
412	0.4199610327
413	0.4198365503
414	0.4197180567
415	0.4196015624
416	0.4195398882
417	0.4194539996
418	0.4193781052
419	0.419272124
420	0.4191603056
421	0.4190763758
422	0.4189165279
423	0.4188288219
424	0.4187310336
425	0.4186155055
426	0.4185527065
427	0.4184023024
428	0.4182507588
429	0.4181227112
430	0.4180262396
431	0.4179493598
432	0.4178457873
433	0.4177181377
434	0.4176120859
435	0.4174829679
436	0.4173466064
437	0.4172340445
438	0.4171290858
439	0.4170367418
440	0.4169460456
441	0.4168282955
442	0.4167093007
443	0.4165966795
444	0.4164700717
445	0.4163573191
446	0.4162773887
447	0.4161709444
448	0.416107396
449	0.4160259323
450	0.4159188964
451	0.4157001244
452	0.4156084619
453	0.4154957293
454	0.4153919027
455	0.4152547354
456	0.41518461
457	0.4150883381
458	0.4149830629
459	0.4149063431
460	0.414819731
461	0.4146993441
462	0.4146019252
463	0.4145054548
464	0.4143071844
465	0.4142274016
466	0.4141446834
467	0.414093234
468	0.4139676703
469	0.4138580786
470	0.4137284859
471	0.4136441397
472	0.4135991178
473	0.4135070983
474	0.4133928909
475	0.4133254101
476	0.4131932606
477	0.4131048859
478	0.4130154482
479	0.4129378629
480	0.4128604677
481	0.4127804311
482	0.412698079
483	0.4125489179
484	0.4124576387
485	0.4123750646
486	0.4123114394
487	0.4122225382
488	0.4121208665
489	0.4120156163
490	0.4119240295
491	0.4118357135
492	0.4117440114
493	0.4116503446
494	0.4115938342
495	0.4115248694
496	0.4114656176
497	0.4113758794
498	0.411298568
499	0.411210692
500	0.4111438817
501	0.4111027422
502	0.4110413795
503	0.4109322515
504	0.4108636763
505	0.4107650519
506	0.4106418354
507	0.4105371212
508	0.4104224311
509	0.4103670855
510	0.4102817734
511	0.4101316997
512	0.4100577714
513	0.4099818842
514	0.4099797678
515	0.4099104675
516	0.4098327762
517	0.4097674416
518	0.4097001956
519	0.409607062
520	0.4095199895
521	0.40944451
522	0.4093732075
523	0.4093104013
524	0.4092362324
525	0.4091580304
526	0.4090553909
527	0.4089980591
528	0.408888748
529	0.4088119065
530	0.408729174
531	0.408639167
532	0.4085632446
533	0.4084928858
534	0.4084353719
535	0.4083626038
536	0.4081823432
537	0.4080931023
538	0.4080159152
539	0.4079256091
540	0.4078639993
541	0.4078265556
542	0.4077013513
543	0.4076121681
544	0.4075328081
545	0.4074403845
546	0.4073590395
547	0.4072476689
548	0.4071695394
549	0.4071022478
550	0.4070186188
551	0.4069587934
552	0.4068809222
553	0.4067916764
554	0.4067249884
555	0.4066422134
556	0.4065542006
557	0.4064754412
558	0.4064024565
559	0.406352192
560	0.4062768599
561	0.4061702465
562	0.4061040201
563	0.4060446344
564	0.4059816207
565	0.4059176811
566	0.4058328914
567	0.4057421597
568	0.4056913281
569	0.4056318798
570	0.4055388866
571	0.4054913277
572	0.4054020151
573	0.4053379894
574	0.4052512337
575	0.4051691924
576	0.4050135417
577	0.4049369926
578	0.4048783401
579	0.4048236803
580	0.4047597042
581	0.4046632671
582	0.4045934951
583	0.4045064768
584	0.404432818
585	0.4043527074
586	0.4043020658
587	0.4042463267
588	0.4041930898
589	0.4041350377
590	0.4040598545
